"iter","adj","size"
1,"tall",1.66442729160068
2,"tall",3.33794911581291
3,"tall",3.0869985209301
4,"tall",2.04906196761506
5,"tall",1.0447587188364
6,"tall",1.56953046801458
7,"tall",1.69833137602049
8,"tall",2.66524032820943
9,"tall",2.27662077942532
10,"tall",1.9434690894835
11,"tall",2.76623850760548
12,"tall",0.978214100576786
13,"tall",2.236633908025
14,"tall",1.5997220591121
15,"tall",1.71135355592901
16,"tall",1.80390690065512
17,"tall",2.10371429665702
18,"tall",1.59334450659079
19,"tall",1.20440027425766
20,"tall",1.74733291673497
21,"tall",2.09014989023563
22,"tall",2.29209090888531
23,"tall",2.27618970729591
24,"tall",1.96438998256946
25,"tall",2.38677689154071
26,"tall",3.19077819657724
27,"tall",2.44702560000412
28,"tall",3.01647369639762
29,"tall",1.56989003796807
30,"tall",1.39353401009783
31,"tall",2.81879025458286
32,"tall",2.14225783941651
33,"tall",1.47425241250776
34,"tall",1.80683845945431
35,"tall",2.11805239346118
36,"tall",1.49025209049755
37,"tall",1.92197085839784
38,"tall",3.53625106099761
39,"tall",1.36903551737491
40,"tall",1.68755206233808
41,"tall",1.55138955814917
42,"tall",1.98990613255967
43,"tall",2.23012139107357
44,"tall",1.19615492562082
45,"tall",1.938870365544
46,"tall",2.33952689726109
47,"tall",1.77739555576697
48,"tall",1.83369745885511
49,"tall",2.353648044678
50,"tall",1.58197526330327
51,"tall",1.59251047950464
52,"tall",2.52820340679449
53,"tall",1.42185853629633
54,"tall",2.13942233745767
55,"tall",2.32719339909543
56,"tall",2.10337576650379
57,"tall",2.56318491809758
58,"tall",1.92546285967645
59,"tall",1.44598743833047
60,"tall",1.9309093833957
61,"tall",1.14881351452995
62,"tall",1.93781913286484
63,"tall",2.64450159179104
64,"tall",1.71393774624564
65,"tall",2.53948022012417
66,"tall",1.83700011447701
67,"tall",1.37816900611804
68,"tall",1.89890097690885
69,"tall",1.91233378181907
70,"tall",1.46443633405128
71,"tall",2.24457202776941
72,"tall",1.6399038822121
73,"tall",2.88266729751231
74,"tall",2.64274073814883
75,"tall",1.54945007667008
76,"tall",2.52600423606481
77,"tall",1.93087037721248
78,"tall",2.23270548172821
79,"tall",1.04986053833008
80,"tall",1.98922275758392
81,"tall",1.4740231671283
82,"tall",2.23108209000043
83,"tall",2.58614486394118
84,"tall",2.68672303672101
85,"tall",1.67083066553007
86,"tall",1.33381169394892
87,"tall",2.5427141648945
88,"tall",1.93344809392545
89,"tall",2.57693330296287
90,"tall",2.99388407058956
91,"tall",1.13752173660366
92,"tall",2.06644701439981
93,"tall",2.31996978104611
94,"tall",1.64412535063945
95,"tall",2.56652747788231
96,"tall",2.00818103447366
97,"tall",2.36306096217341
98,"tall",1.96022869450857
99,"tall",4.32055538611233
100,"tall",3.42483823429023
101,"tall",2.9838273145426
102,"tall",1.59559260205586
103,"tall",1.77450308136085
104,"tall",1.73285122403248
105,"tall",1.78578284071149
106,"tall",5.59916485059446
107,"tall",2.04489085659186
108,"tall",2.21468761556106
109,"tall",1.90637886129317
110,"tall",2.3581416140418
111,"tall",2.04211790719852
112,"tall",2.03304967628861
113,"tall",1.08904490752471
114,"tall",2.1619694824405
115,"tall",1.51717178038184
116,"tall",1.82098254579502
117,"tall",1.96449163825002
118,"tall",1.4848483357759
119,"tall",2.38676570593192
120,"tall",2.13843984469192
121,"tall",2.08250157080068
122,"tall",2.82952712023213
123,"tall",1.32039517434226
124,"tall",2.12330645656332
125,"tall",1.69175764354292
126,"tall",1.47559404306747
127,"tall",2.94496637523495
128,"tall",2.09491259065916
129,"tall",2.34918626424197
130,"tall",1.54460859630522
131,"tall",2.4919645271336
132,"tall",1.21817756400423
133,"tall",1.99171052805944
134,"tall",1.84696440797241
135,"tall",1.45176506678571
136,"tall",1.97911954131239
137,"tall",2.01412734699507
138,"tall",2.54350215186147
139,"tall",2.2131576378059
140,"tall",1.57971919820915
141,"tall",1.43766934871815
142,"tall",2.32454503466318
143,"tall",1.61158667247334
144,"tall",1.81477730582205
145,"tall",1.40835159546706
146,"tall",1.36080589129285
147,"tall",2.88606530273021
148,"tall",1.99828516297703
149,"tall",1.68112060166868
150,"tall",1.94544473334894
151,"tall",1.47569164448374
152,"tall",2.16365365404153
153,"tall",2.3563259751561
154,"tall",1.77165677735856
155,"tall",2.02534186485391
156,"tall",2.17621159487033
157,"tall",1.75863365130063
158,"tall",1.79543914389844
159,"tall",1.30893098958583
160,"tall",3.10099082854827
161,"tall",2.82194387939601
162,"tall",2.73423772422765
163,"tall",2.84019715211852
164,"tall",1.54270904205477
165,"tall",1.9583583707005
166,"tall",2.68368082690765
167,"tall",1.89278333834347
168,"tall",1.31014013479907
169,"tall",2.28768993427646
170,"tall",2.07211409539051
171,"tall",2.55825427456352
172,"tall",1.21197922786765
173,"tall",1.37908512935476
174,"tall",1.88182808470326
175,"tall",2.04167750747997
176,"tall",2.68415077012338
177,"tall",1.93960041443662
178,"tall",1.84760826306315
179,"tall",2.09569235805378
180,"tall",2.13601610997729
181,"tall",2.2367412973219
182,"tall",2.2176797339305
183,"tall",2.22275073802666
184,"tall",2.29826521896691
185,"tall",2.19415695416711
186,"tall",3.03426353906809
187,"tall",1.46216992278006
188,"tall",1.94756024727299
189,"tall",2.65472514014345
190,"tall",0.991269545216123
191,"tall",1.78414331423683
192,"tall",1.41860634114414
193,"tall",2.60711980302249
194,"tall",3.07369835010854
195,"tall",2.2450643110293
196,"tall",1.7477068949634
197,"tall",2.07748321130312
198,"tall",1.380886346491
199,"tall",2.05805596066028
200,"tall",2.05577206929908
201,"tall",1.75671937592256
202,"tall",1.95097772192356
203,"tall",2.46984567036817
204,"tall",2.3987331041393
205,"tall",1.81892055220734
206,"tall",4.50580018639839
207,"tall",1.94407967547466
208,"tall",2.17471744984661
209,"tall",2.08193622963275
210,"tall",1.94421762412256
211,"tall",1.76611513373908
212,"tall",2.07071649818357
213,"tall",1.35141600084077
214,"tall",2.39579597340546
215,"tall",1.54502513375734
216,"tall",1.23513258282478
217,"tall",1.85452134581106
218,"tall",1.91089394365229
219,"tall",2.7905310031917
220,"tall",1.4825530713473
221,"tall",1.6463930338945
222,"tall",1.60662106633366
223,"tall",1.54338618340945
224,"tall",1.70942158181242
225,"tall",1.59872879936587
226,"tall",1.71943742043678
227,"tall",1.64705022393471
228,"tall",2.46010062469288
229,"tall",1.88275612551098
230,"tall",1.22127150629966
231,"tall",1.40931172803287
232,"tall",2.22358284972058
233,"tall",1.64867366736436
234,"tall",2.00168265095585
235,"tall",1.8875392294209
236,"tall",1.72669913329018
237,"tall",1.61150699892437
238,"tall",2.14346441515448
239,"tall",1.87208201371031
240,"tall",2.15774251948459
241,"tall",1.79554539695729
242,"tall",2.30646960389564
243,"tall",2.234233702846
244,"tall",1.57677030788335
245,"tall",1.71722880232562
246,"tall",2.28474739304975
247,"tall",2.13644304962095
248,"tall",1.66104990937748
249,"tall",1.57208488651655
250,"tall",2.48036637050371
251,"tall",2.59010837138674
252,"tall",1.78459788650475
253,"tall",1.71001318511385
254,"tall",1.72260410462237
255,"tall",2.57224269592875
256,"tall",1.99266710135919
257,"tall",1.55478483323356
258,"tall",1.97111320577246
259,"tall",1.76645062133605
260,"tall",1.53842139278526
261,"tall",1.53265405055924
262,"tall",2.37899212884514
263,"tall",1.94118133591247
264,"tall",2.12696319187611
265,"tall",2.43658570127944
266,"tall",2.3224583613679
267,"tall",2.41146116670753
268,"tall",3.21753581950773
269,"tall",2.17316006173914
270,"tall",2.1856179717583
271,"tall",2.36765938316684
272,"tall",1.35320198902619
273,"tall",2.22656252734712
274,"tall",4.44001475006213
275,"tall",1.48950520105564
276,"tall",1.73022732896961
277,"tall",1.93389148499489
278,"tall",2.77807354353789
279,"tall",1.54188524243059
280,"tall",1.87460590200402
281,"tall",1.94317199706875
282,"tall",1.77006494338865
283,"tall",1.8007987902843
284,"tall",2.11718850479828
285,"tall",2.10167919424357
286,"tall",3.13065964180829
287,"tall",1.83662886362842
288,"tall",1.52685937157415
289,"tall",4.56130657326725
290,"tall",3.0186987571059
291,"tall",2.37209164825015
292,"tall",2.62321043563174
293,"tall",1.77866759722968
294,"tall",1.91762979087326
295,"tall",1.93221666353889
296,"tall",1.95240928472598
297,"tall",1.92180415867826
298,"tall",1.69125963768446
299,"tall",1.66367560741798
300,"tall",2.32592619602911
301,"tall",0.851006870897441
302,"tall",2.03941720963527
303,"tall",1.72183338923374
304,"tall",2.12671614303089
305,"tall",1.90918591019897
306,"tall",1.8512556366432
307,"tall",2.21320354146253
308,"tall",2.20126865923692
309,"tall",1.60790228614997
310,"tall",1.45036938838517
311,"tall",1.7957034146643
