"X","date","subj_id","content","response","Adj","Name","Unit","Pred","Repetition"
187,1438010210,"subj01","item","16","Tall","Robert","73","notVeryTall",1
188,1438010210,"subj01","item","10","Tall","Richard","73","notTall",1
189,1438010210,"subj01","item","7","Tall","Michael","74","notVeryTall",1
190,1438010210,"subj01","item","2","Tall","Jason","79","short",1
191,1438010210,"subj01","item","76","Tall","Arthur","63","short",1
192,1438010210,"subj01","item","83","Tall","Matthew","75","notShort",1
193,1438010210,"subj01","item","24","Tall","Ryan","69","notVeryTall",1
194,1438010210,"subj01","item","9","Tall","Brian","73","short",1
195,1438010210,"subj01","item","19","Tall","Jacob","68","notVeryTall",1
196,1438010210,"subj01","item","9","Tall","Joseph","75","notTall",1
197,1438010210,"subj01","item","74","Tall","Jason","72","veryTall",1
198,1438010210,"subj01","item","74","Tall","Paul","63","short",2
199,1438010210,"subj01","item","50","Tall","Donald","72","neither",1
200,1438010210,"subj01","item","69","Tall","Christopher","73","veryTall",1
201,1438010210,"subj01","item","72","Tall","William","75","notVeryTall",1
202,1438010210,"subj01","item","28","Tall","Michael","70","notTall",1
203,1438010210,"subj01","item","6","Tall","John","77","short",1
204,1438010210,"subj01","item","13","Tall","Jeff","74","notVeryTall",2
205,1438010210,"subj01","item","79","Tall","Paul","74","notShort",1
206,1438010210,"subj01","item","73","Tall","Arthur","71","tall",1
207,1438010210,"subj01","item","71","Tall","William","70","tall",1
208,1438010210,"subj01","item","19","Tall","William","71","notTall",1
209,1438010210,"subj01","item","84","Tall","Donald","77","notShort",1
210,1438010210,"subj01","item","16","Tall","Tim","63","notShort",1
211,1438010210,"subj01","item","77","Tall","Christopher","72","notShort",1
212,1438010210,"subj01","item","14","Tall","Arthur","77","notVeryTall",1
213,1438010210,"subj01","item","74","Tall","Richard","72","tall",1
214,1438010210,"subj01","item","14","Tall","Jeff","82","short",1
215,1438010210,"subj01","item","7","Tall","Robert","79","short",2
216,1438010210,"subj01","item","16","Tall","Tim","75","notVeryTall",2
217,1438010210,"subj01","item","73","Tall","George","79","notShort",1
218,1438010210,"subj01","item","7","Tall","Kevin","72","notVeryTall",1
219,1438010210,"subj01","item","22","Tall","Steven","75","neither",1
220,1438010210,"subj01","item","21","Tall","Ryan","70","neither",1
221,1438010210,"subj01","item","16","Tall","Edward","77","neither",1
222,1438010210,"subj01","item","74","Tall","Alex","74","tall",1
223,1438010210,"subj01","item","10","Tall","Steven","63","veryTall",1
